Admin1Name,Name_2,adm1,adm0,Stunting,Stunting Uncertainty,Wasting,Wasting Uncertainty,Underweight,Underweight Uncertainty,dataset
Eastern,Chadiza,Eastern,Zambia,50.7907,32.3994,6.76296,9.35211,13.3281,14.45648,ihme
Eastern,Chama,Muchinga,Zambia,49.9978,33.1226,6.03848,7.41218,15.1883,14.48164,ihme
North-Western,Chavuma,North-Western,Zambia,48.6988,36.6312,7.84292,10.1864,17.5206,18.96706,ihme
Central,Chibombo,Central,Zambia,38.4474,33.2656,5.8381,9.18637,10.9164,12.73034,ihme
Luapula,Chienge,Luapula,Zambia,46.7862,38.0956,6.14412,8.39643,14.5997,16.38761,ihme
Copperbelt,Chililabombwe,Copperbelt,Zambia,43.4833,39.1374,5.60641,7.55442,12.6017,17.85029,ihme
Northern,Chilubi,Northern,Zambia,52.8348,35.6835,6.10442,8.09818,16.5998,17.73136,ihme
Copperbelt,Chingola,Copperbelt,Zambia,41.1433,39.0431,5.5251,7.89736,11.8603,14.7309,ihme
Northern,Chinsali,Muchinga,Zambia,49.0996,33.0249,5.42676,7.27687,15.7355,15.49104,ihme
Eastern,Chipata,Eastern,Zambia,48.7733,31.9811,5.92933,7.89847,12.2825,12.52942,ihme
Southern,Choma,Southern,Zambia,41.882,34.549,6.7885,8.58283,13.1713,14.65744,ihme
Lusaka,Chongwe,Lusaka,Zambia,39.6244,35.8835,5.78503,8.25583,11.421,13.59321,ihme
Southern,Gwembe,Southern,Zambia,43.6099,35.3892,5.64458,7.45962,13.2115,16.01044,ihme
Northern,Isoka,Muchinga,Zambia,46.339,32.182,5.33945,7.78546,14.6537,14.09353,ihme
Northern,Mafinga,Muchinga,Zambia,46.339,32.182,5.33945,7.78546,14.6537,14.09353,ihme
Southern,Itezhi-Tezhi,Southern,Zambia,45.5363,35.2642,7.24998,9.55994,15.2395,17.01906,ihme
North-Western,Kabompo,North-Western,Zambia,49.2744,38.8888,6.76882,9.93263,16.879,18.78073,ihme
Central,Kabwe,Central,Zambia,42.7796,34.3893,6.43664,8.15032,12.1132,13.25814,ihme
Lusaka,Kafue,Lusaka,Zambia,40.5693,35.8872,7.78422,11.74103,13.641,15.38822,ihme
Western,Kalabo,Western,Zambia,42.9425,35.5425,7.33076,9.23811,15.9874,17.62414,ihme
Southern,Kalomo,Southern,Zambia,43.1134,33.7183,6.36991,7.71539,13.5232,15.45791,ihme
Copperbelt,Kalulushi,Copperbelt,Zambia,42.7091,39.0625,5.74522,8.53241,12.5442,15.45444,ihme
Western,Kaoma,Western,Zambia,47.027,35.6258,6.34681,8.0927,14.4998,15.03361,ihme
Central,Kapiri Mposhi,Central,Zambia,52.4087,35.3977,5.49175,6.6492,14.4607,15.77122,ihme
Northern,Kaputa,Northern,Zambia,50.6579,33.6883,6.36132,8.52358,18.5575,18.2776,ihme
Northern,Kasama,Northern,Zambia,47.6315,34.3199,5.38417,7.04208,15.3226,17.58343,ihme
