,name,bounds,parents,children,disabled,location_id,has_raster_data,has_aggregate_data,adm1,adm0
0,Mongu,"BOX(22.8315353393555 -15.8413591384888,24.1547756195069 -14.6099805831909)","['0', '255', '10255']",[],False,4010255,True,True,Western,Zambia
1,Kalabo,"BOX(21.9994068100001 -16.2602634429932,23.0567016601562 -14.1460371017455)","['0', '255', '10255']",[],False,1010255,True,True,Western,Zambia
2,Kaoma,"BOX(23.6735286712646 -16.0775470733643,25.5056591000001 -13.9841833099999)","['0', '255', '10255']",[],False,2010255,True,True,Western,Zambia
3,Lukulu,"BOX(22.0004405975342 -14.815746307373,24.67953491 -13.6743268999999)","['0', '255', '10255']",[],False,3010255,True,True,Western,Zambia
4,Senanga,"BOX(22.6303901672364 -16.7220516204833,24.6080532073976 -15.3807983398438)","['0', '255', '10255']",[],False,5010255,True,True,Western,Zambia
5,Shangombo,"BOX(22.0574588775636 -17.45701981,23.7496585845948 -15.7815971374511)","['0', '255', '10255']",[],False,7010255,True,True,Western,Zambia
6,Sesheke,"BOX(23.14207649 -17.63928032,25.4253139495851 -15.5052042007446)","['0', '255', '10255']",[],False,6010255,True,True,Western,Zambia
0,Gwembe,"BOX(27.3672237396241 -16.98366356,28.2616691589356 -16.2291507720947)","['0', '255', '9255']",[],False,2009255,True,True,Southern,Zambia
1,Itezhi-Tezhi,"BOX(26.3625793457032 -16.2855110168456,27.1776599884034 -15.5730247497558)","['0', '255', '9255']",[],False,3009255,True,True,Southern,Zambia
2,Sinazongwe,"BOX(26.7906379699707 -17.9936847686767,27.8153762800001 -16.8837985992431)","['0', '255', '9255']",[],False,11009255,True,True,Southern,Zambia
3,Mazabuka,"BOX(27.35240364 -16.2637329101562,28.4916877746583 -15.47250271)","['0', '255', '9255']",[],False,7009255,True,True,Southern,Zambia
4,Monze,"BOX(27.0389060974122 -16.4327335357665,27.9622116088867 -15.6411457099999)","['0', '255', '9255']",[],False,8009255,True,True,Southern,Zambia
5,Choma,"BOX(26.6874847412111 -17.3996562957763,27.6241474151612 -16.1273860931396)","['0', '255', '9255']",[],False,1009255,True,True,Southern,Zambia
6,Livingstone,"BOX(25.6270904500001 -17.9840717315673,26.1448364257814 -17.3847560882568)","['0', '255', '9255']",[],False,6009255,True,True,Southern,Zambia
7,Kalomo,"BOX(25.9899425506591 -18.0794734954834,27.059009552002 -16.2830963134766)","['0', '255', '9255']",[],False,4009255,True,True,Southern,Zambia
8,Namwala,"BOX(25.2154464700001 -16.5084800720214,27.26381111 -15.2791109085083)","['0', '255', '9255']",[],False,9009255,True,True,Southern,Zambia
9,Kazungula,"BOX(24.93603515625 -18.00564957,26.5107440948486 -16.0908889770507)","['0', '255', '9255']",[],False,5009255,True,True,Southern,Zambia
10,Siavonga,"BOX(28.030662536621 -16.7240505218506,28.91201782 -15.83405018)","['0', '255', '9255']",[],False,10009255,True,True,Southern,Zambia
0,Chilubi,"BOX(29.8058185577393 -11.5034627914429,30.6878986358643 -10.6945476531982)","['0', '255', '8255']",[],False,1008255,True,True,Northern,Zambia
1,Kaputa,"BOX(29.112066268921 -9.34438991546625,30.81605148 -8.27087688446045)","['0', '255', '8255']",[],False,2008255,True,True,Northern,Zambia
2,Kasama,"BOX(30.2710475921631 -11.3436222099999,31.5748023986816 -9.77497768402088)","['0', '255', '8255']",[],False,3008255,True,True,Northern,Zambia
3,Mungwi,"BOX(31.1485252380371 -10.5880632399999,32.39656448 -9.43549346923817)","['0', '255', '8255']",[],False,8008255,True,True,Northern,Zambia
4,Luwingu,"BOX(29.0868740081788 -11.119194984436,30.7710971832276 -10.0678491599999)","['0', '255', '8255']",[],False,4008255,True,True,Northern,Zambia
5,Mbala,"BOX(30.9659118652344 -9.64146518707275,32.3327713 -8.58720970153809)","['0', '255', '8255']",[],False,5008255,True,True,Northern,Zambia
6,Mporokoso,"BOX(29.3319683074952 -10.3476543426514,31.2260646820068 -9.25370979309082)","['0', '255', '8255']",[],False,6008255,True,True,Northern,Zambia
