,0,1,2,locid
0,"{'stat': 'mean', 'value': 11.8066}","{'stat': 'upper', 'value': 19.6924}","{'stat': 'lower', 'value': 5.90217}",4005255
0,"{'stat': 'mean', 'value': 10.8688}","{'stat': 'upper', 'value': 18.4584}","{'stat': 'lower', 'value': 5.5259}",3005255
0,"{'stat': 'mean', 'value': 13.641}","{'stat': 'upper', 'value': 22.4646}","{'stat': 'lower', 'value': 7.07638}",2005255
0,"{'stat': 'mean', 'value': 11.421}","{'stat': 'upper', 'value': 19.2316}","{'stat': 'lower', 'value': 5.63839}",1005255
0,"{'stat': 'mean', 'value': 12.5469}","{'stat': 'upper', 'value': 20.0361}","{'stat': 'lower', 'value': 7.21978}",6001255
0,"{'stat': 'mean', 'value': 10.5749}","{'stat': 'upper', 'value': 17.6449}","{'stat': 'lower', 'value': 5.55249}",5001255
0,"{'stat': 'mean', 'value': 13.178}","{'stat': 'upper', 'value': 22.2589}","{'stat': 'lower', 'value': 6.9985100000000005}",4001255
0,"{'stat': 'mean', 'value': 12.1132}","{'stat': 'upper', 'value': 19.7543}","{'stat': 'lower', 'value': 6.49616}",2001255
0,"{'stat': 'mean', 'value': 10.9164}","{'stat': 'upper', 'value': 18.1654}","{'stat': 'lower', 'value': 5.43506}",1001255
0,"{'stat': 'mean', 'value': 14.4607}","{'stat': 'upper', 'value': 23.9707}","{'stat': 'lower', 'value': 8.19948}",3001255
0,"{'stat': 'mean', 'value': 11.1875}","{'stat': 'upper', 'value': 18.6883}","{'stat': 'lower', 'value': 5.68615}",4002255
0,"{'stat': 'mean', 'value': 11.4775}","{'stat': 'upper', 'value': 20.3}","{'stat': 'lower', 'value': 6.01977}",10002255
0,"{'stat': 'mean', 'value': 12.3203}","{'stat': 'upper', 'value': 21.2291}","{'stat': 'lower', 'value': 6.10391}",9002255
0,"{'stat': 'mean', 'value': 12.82}","{'stat': 'upper', 'value': 21.2444}","{'stat': 'lower', 'value': 7.03269}",8002255
0,"{'stat': 'mean', 'value': 12.5442}","{'stat': 'upper', 'value': 21.7713}","{'stat': 'lower', 'value': 6.31686}",3002255
0,"{'stat': 'mean', 'value': 11.8603}","{'stat': 'upper', 'value': 20.4282}","{'stat': 'lower', 'value': 5.6973}",2002255
0,"{'stat': 'mean', 'value': 12.6017}","{'stat': 'upper', 'value': 23.9578}","{'stat': 'lower', 'value': 6.10751}",1002255
0,"{'stat': 'mean', 'value': 13.3506}","{'stat': 'upper', 'value': 21.9904}","{'stat': 'lower', 'value': 7.38638}",7002255
0,"{'stat': 'mean', 'value': 13.4081}","{'stat': 'upper', 'value': 23.0141}","{'stat': 'lower', 'value': 7.23121}",6002255
0,"{'stat': 'mean', 'value': 12.0087}","{'stat': 'upper', 'value': 21.317}","{'stat': 'lower', 'value': 6.06311}",5002255
0,"{'stat': 'mean', 'value': 12.5735}","{'stat': 'upper', 'value': 20.9902}","{'stat': 'lower', 'value': 7.1104}",5003255
0,"{'stat': 'mean', 'value': 14.5491}","{'stat': 'upper', 'value': 21.5477}","{'stat': 'lower', 'value': 9.44823}",4003255
0,"{'stat': 'mean', 'value': 12.4327}","{'stat': 'upper', 'value': 19.8885}","{'stat': 'lower', 'value': 6.59419}",7003255
0,"{'stat': 'mean', 'value': 13.2878}","{'stat': 'upper', 'value': 21.5}","{'stat': 'lower', 'value': 7.48907}",6003255
0,"{'stat': 'mean', 'value': 13.3281}","{'stat': 'upper', 'value': 21.6645}","{'stat': 'lower', 'value': 7.20802}",1003255
0,"{'stat': 'mean', 'value': 12.4932}","{'stat': 'upper', 'value': 21.119}","{'stat': 'lower', 'value': 6.9894300000000005}",3003255
0,"{'stat': 'mean', 'value': 12.2825}","{'stat': 'upper', 'value': 19.5931}","{'stat': 'lower', 'value': 7.06368}",2003255
0,"{'stat': 'mean', 'value': 15.091}","{'stat': 'upper', 'value': 24.2551}","{'stat': 'lower', 'value': 8.63681}",7004255
0,"{'stat': 'mean', 'value': 17.0891}","{'stat': 'upper', 'value': 27.4085}","{'stat': 'lower', 'value': 9.37211}",5004255
0,"{'stat': 'mean', 'value': 17.0218}","{'stat': 'upper', 'value': 26.9653}","{'stat': 'lower', 'value': 9.08475}",4004255
0,"{'stat': 'mean', 'value': 17.5011}","{'stat': 'upper', 'value': 28.2622}","{'stat': 'lower', 'value': 9.54111}",3004255
0,"{'stat': 'mean', 'value': 18.8702}","{'stat': 'upper', 'value': 29.4934}","{'stat': 'lower', 'value': 10.1381}",2004255
0,"{'stat': 'mean', 'value': 15.1926}","{'stat': 'upper', 'value': 25.4099}","{'stat': 'lower', 'value': 7.87469}",6004255
0,"{'stat': 'mean', 'value': 14.5997}","{'stat': 'upper', 'value': 24.1663}","{'stat': 'lower', 'value': 7.77869}",1004255
0,"{'stat': 'mean', 'value': 13.8473}","{'stat': 'upper', 'value': 22.9758}","{'stat': 'lower', 'value': 7.86795}",5006255
0,"{'stat': 'mean', 'value': 13.58}","{'stat': 'upper', 'value': 20.977}","{'stat': 'lower', 'value': 8.15166}",4006255
0,"{'stat': 'mean', 'value': 14.6537}","{'stat': 'upper', 'value': 22.5837}","{'stat': 'lower', 'value': 8.49017}",3006255
0,"{'stat': 'mean', 'value': 15.7355}","{'stat': 'upper', 'value': 24.4314}","{'stat': 'lower', 'value': 8.94036}",2006255
0,"{'stat': 'mean', 'value': 15.1883}","{'stat': 'upper', 'value': 23.4368}","{'stat': 'lower', 'value': 8.95516}",1006255
0,"{'stat': 'mean', 'value': 15.4989}","{'stat': 'upper', 'value': 24.5337}","{'stat': 'lower', 'value': 8.08367}",7007255
0,"{'stat': 'mean', 'value': 13.3562}","{'stat': 'upper', 'value': 21.7825}","{'stat': 'lower', 'value': 6.82168}",6007255
0,"{'stat': 'mean', 'value': 14.3741}","{'stat': 'upper', 'value': 23.4783}","{'stat': 'lower', 'value': 7.58925}",5007255
0,"{'stat': 'mean', 'value': 17.5206}","{'stat': 'upper', 'value': 27.5075}","{'stat': 'lower', 'value': 8.54044}",1007255
0,"{'stat': 'mean', 'value': 13.0703}","{'stat': 'upper', 'value': 22.015}","{'stat': 'lower', 'value': 6.49446}",4007255
0,"{'stat': 'mean', 'value': 16.879}","{'stat': 'upper', 'value': 27.594}","{'stat': 'lower', 'value': 8.81327}",2007255
0,"{'stat': 'mean', 'value': 14.3719}","{'stat': 'upper', 'value': 23.9844}","{'stat': 'lower', 'value': 7.36773}",3007255
0,"{'stat': 'mean', 'value': 17.591}","{'stat': 'upper', 'value': 26.7108}","{'stat': 'lower', 'value': 9.87015}",7008255
0,"{'stat': 'mean', 'value': 16.206}","{'stat': 'upper', 'value': 25.8654}","{'stat': 'lower', 'value': 9.31648}",6008255
0,"{'stat': 'mean', 'value': 17.0865}","{'stat': 'upper', 'value': 26.2331}","{'stat': 'lower', 'value': 9.38089}",5008255
0,"{'stat': 'mean', 'value': 16.4289}","{'stat': 'upper', 'value': 26.6129}","{'stat': 'lower', 'value': 9.3622}",4008255
0,"{'stat': 'mean', 'value': 16.5967}","{'stat': 'upper', 'value': 25.2871}","{'stat': 'lower', 'value': 9.74474}",8008255
0,"{'stat': 'mean', 'value': 15.3226}","{'stat': 'upper', 'value': 25.931}","{'stat': 'lower', 'value': 8.34757}",3008255
0,"{'stat': 'mean', 'value': 18.5575}","{'stat': 'upper', 'value': 28.8501}","{'stat': 'lower', 'value': 10.5725}",2008255
0,"{'stat': 'mean', 'value': 16.5998}","{'stat': 'upper', 'value': 27.0092}","{'stat': 'lower', 'value': 9.27784}",1008255
0,"{'stat': 'mean', 'value': 13.718}","{'stat': 'upper', 'value': 22.184}","{'stat': 'lower', 'value': 6.9224}",10009255
0,"{'stat': 'mean', 'value': 13.1437}","{'stat': 'upper', 'value': 21.1618}","{'stat': 'lower', 'value': 7.27831}",5009255
0,"{'stat': 'mean', 'value': 13.3339}","{'stat': 'upper', 'value': 22.1069}","{'stat': 'lower', 'value': 7.28515}",9009255
0,"{'stat': 'mean', 'value': 13.5232}","{'stat': 'upper', 'value': 22.6571}","{'stat': 'lower', 'value': 7.19919}",4009255
0,"{'stat': 'mean', 'value': 11.0884}","{'stat': 'upper', 'value': 20.2349}","{'stat': 'lower', 'value': 5.36092}",6009255
0,"{'stat': 'mean', 'value': 13.1713}","{'stat': 'upper', 'value': 21.5168}","{'stat': 'lower', 'value': 6.859360000000001}",1009255
0,"{'stat': 'mean', 'value': 13.1497}","{'stat': 'upper', 'value': 22.1178}","{'stat': 'lower', 'value': 6.329}",8009255
0,"{'stat': 'mean', 'value': 13.2458}","{'stat': 'upper', 'value': 22.2345}","{'stat': 'lower', 'value': 6.66691}",7009255
0,"{'stat': 'mean', 'value': 14.402}","{'stat': 'upper', 'value': 24.0324}","{'stat': 'lower', 'value': 7.23621}",11009255
0,"{'stat': 'mean', 'value': 15.2395}","{'stat': 'upper', 'value': 25.1111}","{'stat': 'lower', 'value': 8.09204}",3009255
0,"{'stat': 'mean', 'value': 13.211500000000001}","{'stat': 'upper', 'value': 22.8054}","{'stat': 'lower', 'value': 6.79496}",2009255
0,"{'stat': 'mean', 'value': 17.0354}","{'stat': 'upper', 'value': 27.2569}","{'stat': 'lower', 'value': 8.46329}",6010255
0,"{'stat': 'mean', 'value': 13.0309}","{'stat': 'upper', 'value': 22.2669}","{'stat': 'lower', 'value': 6.56361}",7010255
0,"{'stat': 'mean', 'value': 15.2029}","{'stat': 'upper', 'value': 23.9839}","{'stat': 'lower', 'value': 8.37023}",5010255
0,"{'stat': 'mean', 'value': 13.8784}","{'stat': 'upper', 'value': 22.454}","{'stat': 'lower', 'value': 7.29614}",3010255
0,"{'stat': 'mean', 'value': 14.4998}","{'stat': 'upper', 'value': 23.0097}","{'stat': 'lower', 'value': 7.97609}",2010255
0,"{'stat': 'mean', 'value': 15.987400000000001}","{'stat': 'upper', 'value': 26.0791}","{'stat': 'lower', 'value': 8.45496}",1010255
0,"{'stat': 'mean', 'value': 14.9439}","{'stat': 'upper', 'value': 24.0945}","{'stat': 'lower', 'value': 8.27606}",4010255
