,0,1,2,locid
0,"{'stat': 'mean', 'value': 6.00726}","{'stat': 'upper', 'value': 10.9024}","{'stat': 'lower', 'value': 3.00577}",4005255
0,"{'stat': 'mean', 'value': 5.46982}","{'stat': 'upper', 'value': 10.1218}","{'stat': 'lower', 'value': 2.60213}",3005255
0,"{'stat': 'mean', 'value': 7.78422}","{'stat': 'upper', 'value': 15.2835}","{'stat': 'lower', 'value': 3.54247}",2005255
0,"{'stat': 'mean', 'value': 5.78503}","{'stat': 'upper', 'value': 10.8227}","{'stat': 'lower', 'value': 2.56687}",1005255
0,"{'stat': 'mean', 'value': 6.03966}","{'stat': 'upper', 'value': 10.4556}","{'stat': 'lower', 'value': 3.19794}",6001255
0,"{'stat': 'mean', 'value': 5.59009}","{'stat': 'upper', 'value': 10.9175}","{'stat': 'lower', 'value': 2.52381}",5001255
0,"{'stat': 'mean', 'value': 6.52619}","{'stat': 'upper', 'value': 11.155}","{'stat': 'lower', 'value': 3.24992}",4001255
0,"{'stat': 'mean', 'value': 6.43664}","{'stat': 'upper', 'value': 11.3835}","{'stat': 'lower', 'value': 3.23318}",2001255
0,"{'stat': 'mean', 'value': 5.8381}","{'stat': 'upper', 'value': 11.9124}","{'stat': 'lower', 'value': 2.72603}",1001255
0,"{'stat': 'mean', 'value': 5.49175}","{'stat': 'upper', 'value': 9.45233}","{'stat': 'lower', 'value': 2.80313}",3001255
0,"{'stat': 'mean', 'value': 5.16498}","{'stat': 'upper', 'value': 9.63957}","{'stat': 'lower', 'value': 2.38631}",4002255
0,"{'stat': 'mean', 'value': 5.29438}","{'stat': 'upper', 'value': 9.88447}","{'stat': 'lower', 'value': 2.43807}",10002255
0,"{'stat': 'mean', 'value': 5.52671}","{'stat': 'upper', 'value': 10.684}","{'stat': 'lower', 'value': 2.40647}",9002255
0,"{'stat': 'mean', 'value': 5.74326}","{'stat': 'upper', 'value': 9.86388}","{'stat': 'lower', 'value': 2.8103100000000003}",8002255
